Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url
Audit Senior - Charlotte,Cherry Bekaert LLP,"Charlotte, NC",4 days ago,2021-03-23,"Dialogue over engagement efficiencies and client specific risks.
You will develop audit approach to be used by the engagement teams.",,https://www.indeed.com/rc/clk?jk=d4f558a38be13a9f&fccid=3ff4bafda5d00b97&vjs=3
Audit Senior - Charlotte,Cherry Bekaert LLP,"Charlotte, NC",4 days ago,2021-03-23,"Dialogue over engagement efficiencies and client specific risks.
You will develop audit approach to be used by the engagement teams.",,https://www.indeed.com/rc/clk?jk=d4f558a38be13a9f&fccid=3ff4bafda5d00b97&vjs=3
Tax Senior,CliftonLarsonAllen,"Charlotte, NC",6 days ago,2021-03-23,"Prepare, supervise, and review individual, C corporation, S corporation, and partnership engagements.
Partner with clients to provide customized tax advisory…",,https://www.indeed.com/rc/clk?jk=b4dc65dc9fd7bde8&fccid=48d824a044be0992&vjs=3
Senior Level Tax Accountant,Godshall Colgate,"Charlotte, NC",26 days ago,2021-03-23,"Tax planning and tax projection experience.
Bachelor’s degree in accounting.
5 years tax preparation experience (individual, partnership, S Corps, multi-state).",,https://www.indeed.com/rc/clk?jk=00268b28e40075f1&fccid=091aff9ac1068798&vjs=3
Senior Audit Associate,"RICHEY MAY & CO., LLP","Matthews, NC",30+ days ago,2021-03-23,"Run client engagements from start to finish, which includes planning, executing, directing, and completing financial audits and managing to budget.",,https://www.indeed.com/rc/clk?jk=262acd8846b1417d&fccid=3bced6649a7d3fd3&vjs=3
"Senior Associate, Assurance",BDO,"Charlotte, NC",15 days ago,2021-03-23,"The Audit Senior will be responsible for coordinating the day-to-day ""in-charge"" duties of planning, fieldwork and ""wrap-up"" to include the preparing of…",,https://www.indeed.com/rc/clk?jk=ce9801a9290d5fce&fccid=3639654bd4055c70&vjs=3
"Sr Internal Auditor, Fraud and Forensics",Honeywell,"Charlotte, NC",26 days ago,2021-03-23,"Responsible for presenting audit findings to senior management and legal, and recommending corrective actions relating to control failures.",,https://www.indeed.com/rc/clk?jk=5e3d0aedb7079fc1&fccid=50208b5bf45ee3b8&vjs=3
Senior Auditor/Audit Supervisor - CFO,Bank of America,"Charlotte, NC",Today,2021-03-23,"Coordinates, schedules, scopes and leads team activities on audits (incl. large, cross-functional).
Ability to successfully communicate to influence management…",,https://www.indeed.com/rc/clk?jk=79a5063bd8de9be5&fccid=5bd99dfa21c8a490&vjs=3
Sales and Use Tax Senior Associate,Dixon Hughes Goodman,"Charlotte, NC",13 days ago,2021-03-23,"This role will assist with the sales and use tax compliance function for the firm.
The position will include overseeing staff in various locations as well as…",,https://www.indeed.com/rc/clk?jk=1f1c2fbe7d43870d&fccid=98bebd3c8ae32694&vjs=3
Tax Senior Associate,Dixon Hughes Goodman,"Charlotte, NC",25 days ago,2021-03-23,Keep informed of current tax developments and effectively apply tax knowledge/research to a specific client’s situations.,,https://www.indeed.com/rc/clk?jk=8148288e1d0f39d2&fccid=98bebd3c8ae32694&vjs=3
Assurance Senior Associate- Real Estate,CohnReznick,"Charlotte, NC",30+ days ago,2021-03-23,"Serving as the Engagement Lead on specific client accounts, taking responsibility for pre-engagement planning, execution, and final deliverable.",,https://www.indeed.com/rc/clk?jk=ddb3f1b83a9b0d59&fccid=f0bade0760e83581&vjs=3
Tax Senior Associate,CohnReznick,"Charlotte, NC",30+ days ago,2021-03-23,"Minimum 3-5 years tax experience in a public accounting firm.
A flexible work environment with competitive benefits.
Real Estate Industry experience preferred.",,https://www.indeed.com/rc/clk?jk=3ce1d3a7debadefd&fccid=f0bade0760e83581&vjs=3
Sr. Accountant,Kryo,"Mooresville, NC",30+ days ago,2021-03-23,"This role is responsible for developing and supporting critical pieces of our reporting infrastructure, including internal and external reporting, accounting,…",,https://www.indeed.com/rc/clk?jk=2a3656d6fe7eddbc&fccid=9309c35c2e7bbd1d&vjs=3
