,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
191,Frazier International Magnet Elementary School,5/10,Average,"4027 W Grenshaw, Chicago, IL, 60624",Public district,K-8,204,11:1,City Of Chicago School District 299
192,Edison Park Elementary School,5/10,Average,"6220 North Olcott Avenue, Chicago, IL, 60631",Public district,PK-8,540,16:1,City Of Chicago School District 299
193,Davis M Magnet Elementary School,5/10,Average,"6740 South Paulina Street, Chicago, IL, 60636",Public district,K-8,249,15:1,City Of Chicago School District 299
194,Clissold Elementary School,4/10,Below average,"2350 West 110th Place, Chicago, IL, 60643",Public district,K-8,507,15:1,City Of Chicago School District 299
195,CICS Bucktown,4/10,Below average,"2235 North Hamilton, Chicago, IL, 60647",Public charter,K-8,707,14:1,City Of Chicago School District 299
196,CICS Irving Park,4/10,Below average,"3820 North Spaulding Avenue, Chicago, IL, 60618",Public charter,K-8,555,19:1,City Of Chicago School District 299
197,CICS West Belden,4/10,Below average,"2245 N. McVicker, Chicago, IL, 60639",Public charter,K-8,527,15:1,City Of Chicago School District 299
198,Camras Elementary School,4/10,Below average,"3000 North Mango Avenue, Chicago, IL, 60634",Public district,PK-8,936,15:1,City Of Chicago School District 299
199,Ihsca Charter High School,4/10,Below average,"2520 South Western Avenue, Chicago, IL, 60608",Public charter,9-12,749,12:1,City Of Chicago School District 299
200,Shields Middle School,4/10,Below average,"2611 West 48th Street, Chicago, IL, 60632",Public district,5-8,605,17:1,City Of Chicago School District 299
201,Solorio Acad High School,4/10,Below average,"5400 South Saint Louis Avenue, Chicago, IL, 60632",Public district,9-12,1195,15:1,City Of Chicago School District 299
202,Hanson Park Elementary School,4/10,Below average,"5411 West Fullerton Avenue, Chicago, IL, 60639",Public district,PK-8,1483,16:1,City Of Chicago School District 299
203,Dubois Elementary School,4/10,Below average,"330 East 133rd Street, Chicago, IL, 60827",Public district,PK-8,234,15:1,City Of Chicago School District 299
204,Eberhart Elementary School,4/10,Below average,"3400 West 65th Place, Chicago, IL, 60629",Public district,PK-8,1386,19:1,City Of Chicago School District 299
205,Edgebrook Elementary School,4/10,Below average,"6525 North Hiawatha Avenue, Chicago, IL, 60646",Public district,K-8,512,19:1,City Of Chicago School District 299
206,Edwards Elementary School,4/10,Below average,"4815 South Karlov Avenue, Chicago, IL, 60632",Public district,PK-8,1550,19:1,City Of Chicago School District 299
207,Falconer Elementary School,4/10,Below average,"3020 North Lamon Avenue, Chicago, IL, 60641",Public district,PK-6,1190,17:1,City Of Chicago School District 299
208,DRW College Prep,4/10,Below average,"931 S. Homan Ave., Chicago, IL, 60624",Public charter,10-12,508,18:1,City Of Chicago School District 299
209,Gary Comer College Prep,4/10,Below average,"7131 S. South Chicago Ave., Chicago, IL, 60619",Public charter,9-12,1096,18:1,City Of Chicago School District 299
210,Fulton Elementary School,4/10,Below average,"5300 South Hermitage Avenue, Chicago, IL, 60609",Public district,PK-8,337,15:1,City Of Chicago School District 299
211,Gary Elementary School,4/10,Below average,"3740 West 31st Street, Chicago, IL, 60623",Public district,3-8,1120,18:1,City Of Chicago School District 299
212,Goethe Elementary School,4/10,Below average,"2236 North Rockwell Street, Chicago, IL, 60647",Public district,PK-8,761,16:1,City Of Chicago School District 299
213,Gray Elementary School,4/10,Below average,"3730 North Laramie Avenue, Chicago, IL, 60641",Public district,PK-8,1160,17:1,City Of Chicago School District 299
214,Greene N Elementary School,4/10,Below average,"3525 South Honore Street, Chicago, IL, 60609",Public district,PK-5,498,17:1,City Of Chicago School District 299
215,Grissom Elementary School,4/10,Below average,"12810 South Escanaba Avenue, Chicago, IL, 60633",Public district,PK-8,353,19:1,City Of Chicago School District 299
216,Grimes Elementary School,4/10,Below average,"5450 West 64th Place, Chicago, IL, 60638",Public district,PK-8,454,16:1,City Of Chicago School District 299
217,Hale Elementary School,4/10,Below average,"6140 South Melvina Avenue, Chicago, IL, 60638",Public district,PK-8,928,18:1,City Of Chicago School District 299
218,Haugan Elementary School,4/10,Below average,"4540 North Hamlin Avenue, Chicago, IL, 60625",Public district,PK-6,908,16:1,City Of Chicago School District 299
219,Hearst Elementary School,4/10,Below average,"4640 South Lamon Avenue, Chicago, IL, 60638",Public district,PK-8,363,15:1,City Of Chicago School District 299
220,Hefferan Elementary School,4/10,Below average,"4409 West Wilcox Street, Chicago, IL, 60624",Public district,PK-8,345,17:1,City Of Chicago School District 299
221,Hitch Elementary School,4/10,Below average,"5625 North McVicker Avenue, Chicago, IL, 60646",Public district,PK-8,568,17:1,City Of Chicago School District 299
222,Hoyne Elementary School,4/10,Below average,"8905 South Crandon Avenue, Chicago, IL, 60617",Public district,K-8,253,18:1,City Of Chicago School District 299
223,Jamieson Elementary School,4/10,Below average,"5650 North Mozart Street, Chicago, IL, 60659",Public district,PK-8,919,18:1,City Of Chicago School District 299
224,Addams Elementary School,4/10,Below average,"10810 South Avenue H, Chicago, IL, 60617",Public district,PK-8,714,20:1,City Of Chicago School District 299
225,Kilmer Elementary School,4/10,Below average,"6700 North Greenview Avenue, Chicago, IL, 60626",Public district,PK-8,763,14:1,City Of Chicago School District 299
226,Lasalle Elementary Language Academy,4/10,Below average,"1734 North Orleans Street, Chicago, IL, 60614",Public district,K-8,560,15:1,City Of Chicago School District 299
227,Locke  J Elementary School,4/10,Below average,"2828 North Oak Park Avenue, Chicago, IL, 60634",Public district,PK-8,1337,18:1,City Of Chicago School District 299
228,Marsh Elementary School,4/10,Below average,"9822 South Exchange Avenue, Chicago, IL, 60617",Public district,PK-8,759,17:1,City Of Chicago School District 299
229,Mcclellan Elementary School,4/10,Below average,"3527 South Wallace Street, Chicago, IL, 60609",Public district,PK-8,338,15:1,City Of Chicago School District 299
230,Mccutcheon Elementary School,4/10,Below average,"4865 North Sheridan Road, Chicago, IL, 60640",Public district,PK-8,372,11:1,City Of Chicago School District 299
231,Mozart Elementary School,4/10,Below average,"2200 North Hamlin Avenue, Chicago, IL, 60647",Public district,PK-8,641,16:1,City Of Chicago School District 299
232,Brown R Elementary Community Academy,4/10,Below average,"12607 South Union Avenue, Chicago, IL, 60628",Public district,PK-8,311,17:1,City Of Chicago School District 299
233,Nightingale Elementary School,4/10,Below average,"5250 South Rockwell Street, Chicago, IL, 60632",Public district,PK-8,1264,18:1,City Of Chicago School District 299
234,Ogden Elementary School,4/10,Below average,"24 West Walton Street, Chicago, IL, 60610",Public district,PK-8,810,7:1,City Of Chicago School District 299
235,LEARN Charles and Dorothy Campbell Campus,4/10,Below average,"212 S. Francisco Ave., Chicago, IL, 60612",Public charter,K-6,402,11:1,City Of Chicago School District 299
236,Horzion Sci Acad - Southwest Chtr,4/10,Below average,"5401 South Western Avenue, Chicago, IL, 60609",Public charter,K-10,723,12:1,City Of Chicago School District 299
237,Pasteur Elementary School,4/10,Below average,"5825 South Kostner Avenue, Chicago, IL, 60629",Public district,PK-8,712,19:1,City Of Chicago School District 299
238,Peck Elementary School,4/10,Below average,"3826 West 58th Street, Chicago, IL, 60629",Public district,PK-8,951,19:1,City Of Chicago School District 299
239,Betty Shabazz Internl Charter Sch,4/10,Below average,"7823 South Ellis Avenue, Chicago, IL, 60619",Public charter,K-8,289,14:1,Betty Shabazz  Internl Chrtr Sch 
240,Peirce Elementary Intl Studies School,4/10,Below average,"1423 West Bryn Mawr Avenue, Chicago, IL, 60660",Public district,PK-8,1018,16:1,City Of Chicago School District 299
241,Peterson Elementary School,4/10,Below average,"5510 North Christiana Ave, Chicago, IL, 60625",Public district,PK-8,891,16:1,City Of Chicago School District 299
242,Richardson Middle School,4/10,Below average,"6018 South Karlov Avenue, Chicago, IL, 60629",Public district,5-8,1214,20:1,City Of Chicago School District 299
243,Reavis Elementary Math & Sci Spec School,4/10,Below average,"834 East 50th Street, Chicago, IL, 60615",Public district,PK-8,247,14:1,City Of Chicago School District 299
244,Reilly Elementary School,4/10,Below average,"3650 West School Street, Chicago, IL, 60618",Public district,PK-8,924,16:1,City Of Chicago School District 299
245,Sayre Elementary Language Academy,4/10,Below average,"1850 North Newland Avenue, Chicago, IL, 60707",Public district,PK-8,449,15:1,City Of Chicago School District 299
246,Sherwood Elementary School,4/10,Below average,"245 West 57th Street, Chicago, IL, 60621",Public district,PK-8,319,16:1,City Of Chicago School District 299
247,Cardenas Elementary School,4/10,Below average,"2345 South Millard Avenue, Chicago, IL, 60623",Public district,PK-3,561,17:1,City Of Chicago School District 299
248,Sullivan Elementary School,4/10,Below average,"8331 South Mackinaw Avenue, Chicago, IL, 60617",Public district,PK-8,513,16:1,City Of Chicago School District 299
249,Swift Elementary Specialty School,4/10,Below average,"5900 North Winthrop Avenue, Chicago, IL, 60660",Public district,PK-8,706,16:1,City Of Chicago School District 299
250,Volta Elementary School,4/10,Below average,"4950 North Avers Avenue, Chicago, IL, 60625",Public district,PK-8,897,17:1,City Of Chicago School District 299
251,Wacker Elementary School,4/10,Below average,"9746 South Morgan Street, Chicago, IL, 60643",Public district,PK-8,296,18:1,City Of Chicago School District 299
252,Washington  G Elementary School,4/10,Below average,"3611 East 114th Street, Chicago, IL, 60617",Public district,PK-8,861,19:1,City Of Chicago School District 299
253,Taft High School,4/10,Below average,"6530 West Bryn Mawr Avenue, Chicago, IL, 60631",Public district,7-12,3371,17:1,City Of Chicago School District 299
254,Clark  G R Elementary School,4/10,Below average,"1045 South Monitor Avenue, Chicago, IL, 60644",Public district,PK-8,235,15:1,City Of Chicago School District 299
255,Ward  L Elementary School,4/10,Below average,"646 Lawndale Avenue, Chicago, IL, 60624",Public district,PK-8,467,15:1,City Of Chicago School District 299
256,Salazar Elementary Bilingual Center,4/10,Below average,"160 West Wendell Street, Chicago, IL, 60610",Public district,PK-8,348,16:1,City Of Chicago School District 299
257,Little Village Elementary School,4/10,Below average,"2620 South Lawndale Avenue, Chicago, IL, 60623",Public district,PK-8,787,17:1,City Of Chicago School District 299
258,Woodlawn Elementary Community School,4/10,Below average,"6657 South Kimbark Avenue, Chicago, IL, 60637",Public district,PK-6,213,17:1,City Of Chicago School District 299
259,Ames Middle School,4/10,Below average,"1920 North Hamlin Avenue, Chicago, IL, 60647",Public district,7-12,867,14:1,City Of Chicago School District 299
260,Saucedo Elementary Scholastic Academy,4/10,Below average,"2850 West 24th Blvd, Chicago, IL, 60623",Public district,PK-8,1005,17:1,City Of Chicago School District 299
261,Evergreen Academy Elementary School,4/10,Below average,"3537 South Paulina Street, Chicago, IL, 60609",Public district,6-8,316,16:1,City Of Chicago School District 299
262,Young Womens Leadership Chartr High School,4/10,Below average,"2641 South Calumet Avenue, Chicago, IL, 60616",Public charter,8-12,188,11:1,City Of Chicago School District 299
263,Belmont-Cragin Elementary School,4/10,Below average,"5252 West Palmer Street, Chicago, IL, 60639",Public district,PK-8,559,19:1,City Of Chicago School District 299
264,New Field Elementary School,4/10,Below average,"1707 West Morse Avenue, Chicago, IL, 60626",Public district,PK-4,704,16:1,City Of Chicago School District 299
265,Durkin Park Elementary School,4/10,Below average,"8445 South Kolin Avenue, Chicago, IL, 60652",Public district,PK-8,700,17:1,City Of Chicago School District 299
266,North-Grand High School,4/10,Below average,"4338 West Wabansia Avenue, Chicago, IL, 60639",Public district,9-12,968,15:1,City Of Chicago School District 299
267,Raby High School,4/10,Below average,"3545 West Fulton Boulevard, Chicago, IL, 60624",Public district,9-12,381,12:1,City Of Chicago School District 299
268,Providence-Englewood Elementary Charter School,4/10,Below average,"6515 South Ashland Avenue, Chicago, IL, 60636",Public charter,K-8,507,14:1,City Of Chicago School District 299
269,Chavez Elementary Multicultural Academy Center,4/10,Below average,"4747 South Marshfield Avenue, Chicago, IL, 60609",Public district,PK-8,971,18:1,City Of Chicago School District 299
270,Jordan Elementary Community School,4/10,Below average,"7414 North Wolcott Avenue, Chicago, IL, 60626",Public district,PK-8,513,15:1,City Of Chicago School District 299
271,Barnard Elementary Comp Math & Science Center,4/10,Below average,"10354 South Charles Street, Chicago, IL, 60643",Public district,PK-8,323,17:1,City Of Chicago School District 299
272,Amundsen High School,4/10,Below average,"5110 North Damen Avenue, Chicago, IL, 60625",Public district,9-12,1227,16:1,City Of Chicago School District 299
273,Bond Elementary School,4/10,Below average,"7050 South May Street, Chicago, IL, 60621",Public district,PK-8,292,15:1,City Of Chicago School District 299
274,Boone Elementary School,4/10,Below average,"6710 North Washtenaw Avenue, Chicago, IL, 60645",Public district,PK-8,843,16:1,City Of Chicago School District 299
275,Haley Elementary Academy,4/10,Below average,"11411 South Eggleston Avenue, Chicago, IL, 60628",Public district,PK-8,542,15:1,City Of Chicago School District 299
276,Brentano Elementary Math & Science Academy,4/10,Below average,"2723 North Fairfield Avenue, Chicago, IL, 60647",Public district,PK-8,495,15:1,City Of Chicago School District 299
277,Burbank Elementary School,4/10,Below average,"2035 North Mobile Avenue, Chicago, IL, 60639",Public district,PK-8,907,19:1,City Of Chicago School District 299
278,Burnside Elementary Scholastic Academy,4/10,Below average,"650 East 91st Place, Chicago, IL, 60619",Public district,PK-8,463,16:1,City Of Chicago School District 299
