,Job Title,Company,Location,Posting Date,Extract Date,Summary,Salary,Job Url,id
1116,Sr. Accountant,Landing Point Search Group,"Rockland County, NY",30+ days ago,2021-03-23,"Processing payroll & commission for the firm’s brokers.
Managing the full accounts payable process.
Managing the full accounts receivable process.",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9cB7QBOOnzobjLFYmZtpS_pcA0Pg25JZkCWjVY8aiW5h2LFngxJc07vVm6RkZ35xipq10NtbkI_3Z4EtFNqtlUBjaWfjxcdjPP1IW-uoohGJQ-wLpJYo3aY9hCoAdaLMA_aK91LpTJFy5CTrsLNK57z8jD_qZGol2A1Tuw1zpCuHD18sG-rzCKsgb9s0tJVWY6mJ_DJinjDtzetHrogrUD3BhjjH3AeQC5bT0vnNH2TawSC3Ghjk5JlNFYxQu6JLUJKmJvC6FbbD2KTF5A0bYd5z8OSm5SjkgWmbwGqyzyngsdVBaYXPpjyemAeX4dGn4FVr2UM5Ydb7QBof765WqyGhdIcOwQS_8_5wEUKyeULB_ZmaEf7ARmP6_O1MyeEqnEfzRn_yJ9R2CW4E91JHKCxK7guu9PY94TS0JgpuTzuuCs9cy3eE21EudiyGukuM6adS8lkn2IEJJ4HfrrCxy&p=0&fvj=1&vjs=3,1116
1117,"Senior Associate, Internal Audit (Asset Management)",KPMG,"New York, NY",18 days ago,2021-03-23,Identify and clearly communicate performance improvement opportunities and leading practices to client personnel and senior management and work with partners to…,,https://www.indeed.com/rc/clk?jk=6c933b476a1c3ab0&fccid=2dd390c3a48a7ed0&vjs=3,1117
1118,Tax Senior/ Manager,Cerity Partners,"New York, NY",30+ days ago,2021-03-23,"Extensive knowledge of income tax planning and financial planning.
5 – 10 years of HNW tax experience with CPA firm or wealth management firm.",,https://www.indeed.com/rc/clk?jk=fd2d1123d8572c03&fccid=7c93ce0724bf2cd8&vjs=3,1118
1119,"Senior Associate, Transfer Pricing",KPMG,"New York, NY",6 days ago,2021-03-23,"KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package.
Assist in delivering transfer pricing projects.",,https://www.indeed.com/rc/clk?jk=f1dcc322fffbe910&fccid=2dd390c3a48a7ed0&vjs=3,1119
1120,Audit Senior Associate- Financial Services,"Baker Tilly US, LLP","New York, NY",30+ days ago,2021-03-23,Learn and grow from direct on the job coaching and mentoring along with participating in firm wide learning and development programs.,,https://www.indeed.com/rc/clk?jk=d9a84acfc43f3947&fccid=1bfec2a2f61dd5c2&vjs=3,1120
1121,Senior Auditor Corporate Audit (Data Analytics),JetBlue Airways Corporation,"Long Island City, NY",27 days ago,2021-03-23,"Prepares and finalizes planning and announcement memos, assists in determining audit scope, and prepares and executes audit programs.",,https://www.indeed.com/rc/clk?jk=d20fe65d486b9764&fccid=38b8f999774b46b1&vjs=3,1121
1122,Senior Accountant,Staffing 360 Solutions,"New York, NY",30+ days ago,2021-03-23,"Prepare schedules use for SEC filings using Form 10-K/Qs.
The Senior Accountant will play a vital role on the Staffing 360 Solutions Finance team through…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D2oPcu62nCOEusvX-PkQ72CJmgvRX8N0x0rMs1pP2toU8TColOzD96WcJGW4YrKJhTTL5lZ9DcbV-nP08bt81k-O3YNh_JJCoXvyKYyiCw7gWj3Hkf5YLXs9IzBww9lz3c6hbyuz6PPOeNPeBXNvBQNyKsPUf740oewC_5nsqdZ_P84tj3KylgGaOJuxCkT6an7niJEesQkTHsvmoQCSR0My7qYt9P5wCZzc34oC80k3ZhIZjPcSR7BNjjcU_Rf2rfhOAvB_pMj3eNiHS2f_yyn6XnjaDftBjsm-1J0dGaVT3i5WyLWkNxr03LwagUdaAZagyn6f2Q2WrSq_I6ou3gt4V7DfftTuNIvT-l8SGX-XhHoXuEB-5rkeXu_IyhTm4o-7z2lGwLHQEQq_ODMglGhW6CduXXTUzMfFRjb3YmthPBJm3j8dpVMtAvA6TjFA5fDSXDEO-6CA==&p=6&fvj=1&vjs=3,1122
1123,"Senior Tax Manager, GSF Finance",Standard Chartered,"New York, NY",30+ days ago,2021-03-23,"Calculation/review of deferred tax asset schedules and quarterly/annual provision entries for the Group.
Serve a senior tax accounting role overseeing US tax…",,https://www.indeed.com/rc/clk?jk=e43819cb57dc4bee&fccid=5249cd8e17163cb5&vjs=3,1123
1124,Strategy & Transactions- Divestiture Advisory Services-NYC Senior,Ernst & Young,"New York, NY",7 days ago,2021-03-23,"You'll be working with and supporting the various team members including senior managers and partners.
A proven record of excellence in audit and/or mergers or…",,https://www.indeed.com/rc/clk?jk=f7efd0587c1a1997&fccid=1544766d4c2915b0&vjs=3,1124
1125,"Tax Senior, Private Client Services",Mazars USA,"New York, NY",30+ days ago,2021-03-23,"3-5 years of relevant experience working in a CPA firm, a professional services firm, a tax consulting practice or family office.",,https://www.indeed.com/rc/clk?jk=f8e9788e45f4c192&fccid=cf80abde47d3bd81&vjs=3,1125
1126,Sr Treasury Manager,Amazon.com Services LLC,"New York, NY",30+ days ago,2021-03-23,"Experience with multi-lateral foreign exchange netting, in-house banking solutions, and pay-on/receive-on-behalf-of cash management solutions.",,https://www.indeed.com/rc/clk?jk=66a0f240307affc7&fccid=fe2d21eef233e94a&vjs=3,1126
1127,Senior Auditor - Corporates,Société Générale,"New York, NY",30+ days ago,2021-03-23,"The Senior Auditor - Vice President will be part of the Corporate Team which is responsible for auditing corporate functions (Compliance, Finance, Human…",,https://www.indeed.com/rc/clk?jk=7f67874ba278e883&fccid=df6948c9b8da6236&vjs=3,1127
1128,Audit Analytics Senior - Data Analytics Support Specialist,Deloitte,"New York, NY",6 days ago,2021-03-23,"You will be part of a team working closely with senior leadership.
At Deloitte, we provide teams with a way to innovate their audit delivery to achieve greater…",,https://www.indeed.com/rc/clk?jk=2af65b956e006cfb&fccid=9e215d88a6b33622&vjs=3,1128
1129,Tax Senior,BDO,"New York, NY",30+ days ago,2021-03-23,"A Core Tax Services Senior Associate is responsible for utilizing research skills, applying tax foundational knowledge to understand potential tax issues,…",,https://www.indeed.com/rc/clk?jk=efae7211a710a9b1&fccid=3639654bd4055c70&vjs=3,1129
1130,Senior Inventory Cost Analyst,The RealReal,"Perth Amboy, NJ",30+ days ago,2021-03-23,"This is a unique opportunity for a professional with a demonstrated background to own, support and build this function to growth and scale.",,https://www.indeed.com/rc/clk?jk=cc72617277bb3d82&fccid=1b0692814cc13474&vjs=3,1130
1131,Senior Fund Accountant OR Assistant Controller,Large Hedge and Private Equity Fund,"New York, NY",30+ days ago,2021-03-23,"Review the portfolio companies to be acquired acquiring.
Records the journal entries for management fees, investments, accruals, other expense/income, valuation…",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2fBwIYhLX4r0C6A88f364H1rwUTQ-tkZvyqI1v8WDLLnX39X6BpFNT0US53ROuDgXNGi-Z4K_VMR7oInGMsP9GBSdNmsnUejpflM4HUkguvuNwFGafF3IVxRuVJTkgFiAOpcQ5xK2ThcoIXUsRscoscnX3lGW75IEDsH3V18E-KP_sFChtw6M5MgbYzZKOkpa55MvYXbl4fR8t0z28OhLVnrGBaUQ3f9a0Z3Zchu1gJQUSETDSIR6-xxQh5erVGdIkN95oStE27iIeamBfhLVwhNqhL0mrWkDcvMhnDwBp4FuBJbhb5PCvOoI7wWJK5cGD3cQppvtc0Vu9N5LeaWMCe3NfMYa6roMvbZltGaHjmFCYKvjY9Ovs2Ad2q5R5Mgv4PBB3d-6p1qCJzaf3C0Bt1ifqLFp4HflUCHQxqmRTUcpWjWSD8MC7Ovi8ZjvidgjVhkh4424WSlMU4MQjOhbPiod573rLraNbNaz4_x4fNVFi9M-PvC--zHdHbXWXdw=&p=0&fvj=1&vjs=3,1131
