Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
6981,Harlem Link Charter School,4,Below average,"21 W. 111th Street, New York, NY, 10026",Public charter,K-5,414.0,10:1,NYC Charter Schools,New York,NY,0,0,1,0
6982,Ms 328 Manhattan Middle School For Scientific Inqu,4,Below average,"401 West 164th Street, New York, NY, 10032",Public district,6-8,223.0,8:1,Nyc Geog District # 6 - Manhattan,New York,NY,0,1,0,0
6983,Business Of Sports School,3,Below average,"439 West 49th Street, New York, NY, 10019",Public district,9-12,432.0,11:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6984,High School For Language And Diplomacy,3,Below average,"40 Irving Place, New York, NY, 10003",Public district,9-12,328.0,13:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6985,Quest To Learn,3,Below average,"351 West 18th Street, New York, NY, 10011",Public district,6-12,579.0,11:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,1,0,0
6986,Mosaic Preparatory Academy,3,Below average,"141 East 111th Street, New York, NY, 10029",Public district,PK-5,328.0,10:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,0,1,1
6987,Hudson High School Of Learning Technologies,3,Below average,"351 West 18th Street, New York, NY, 10011",Public district,9-12,473.0,13:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6988,Rensaissance Charter High School For Innovation,3,Below average,"410 East 100th Street, New York, NY, 10029",Public charter,9-12,446.0,7:1,Unavailable,New York,NY,1,0,0,0
6989,Manhattan Academy For Arts And Languages,3,Below average,"111 East 33rd Street, New York, NY, 10016",Public district,9-12,266.0,11:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6990,Great Oaks Charter School,3,Below average,"38 Delancey Street-3rd Fl, New York, NY, 10002",Public charter,6-8,211.0,18:1,Unavailable,New York,NY,0,1,0,0
6991,New Visions Charter HS-Humanities III,3,Below average,"3000 Avenue X , New York, NY, 10017",Public charter,9-12,328.0,11:1,Unavailable,New York,NY,1,0,0,0
6992,High School for Environmental Studies,3,Below average,"444 West 56th Street, New York, NY, 10019",Public district,9-12,1201.0,16:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6993,Vanguard High School,3,Below average,"317 East 67th Street, New York, NY, 10065",Public district,9-12,451.0,13:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6994,Dos Puentes Elementary School,3,Below average,"185 Wadsworth Avenue, New York, NY, 10033",Public district,K-4,350.0,12:1,Nyc Geog District # 6 - Manhattan,New York,NY,0,0,1,0
6995,Stephen T Mather Bldg Arts-Craftsman,3,Below average,"439 West 49th Street, New York, NY, 10019",Public district,9-12,401.0,9:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6996,Urban Assembly-Emergency Management,3,Below average,"411 Pearl Street, New York, NY, 10038",Public district,9-12,279.0,,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
6997,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,3,Below average,"650 Academy Street, New York, NY, 10034",Public district,9-12,371.0,,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
6998,URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTHCARE,3,Below average,"999 Jamaica Avenue, New York, NY, 11208",Public district,9-12,315.0,,Nyc Geog District #19 - Brooklyn,New York,NY,1,0,0,0
6999,Capital Prep (Cp) Harlem Charter,3,Below average,"1 East 104th Street, New York, NY, 10029",Public charter,6-8,229.0,14:1,Unavailable,New York,NY,0,1,0,0
7000,Frederick Douglass Academy,3,Below average,"2581 Adam Clayton Powell Junior Boulevard, New York, NY, 10001",Public district,6-12,1360.0,16:1,Nyc Geog District # 5 - Manhattan,New York,NY,1,1,0,0
7001,Marta Valle High School,3,Below average,"145 Stanton Street, New York, NY, 10002",Public district,9-12,149.0,10:1,Nyc Geog District # 1 - Manhattan,New York,NY,1,0,0,0
7002,Ps 36 Margaret Douglas,3,Below average,"123 Morningside Drive, New York, NY, 10027",Public district,PK-5,395.0,9:1,Nyc Geog District # 5 - Manhattan,New York,NY,0,0,1,1
7003,James Weldon Johnson School,3,Below average,"176 East 115th Street, New York, NY, 10029",Public district,PK-8,803.0,12:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,1,1,1
7004,The Lexington Academy,3,Below average,"131 East 104th Street, New York, NY, 10029",Public district,PK-8,615.0,11:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,1,1,1
7005,Ps 76 A Phillip Randolph,3,Below average,"220 West 121st Street, New York, NY, 10027",Public district,PK-8,454.0,14:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,1,1,1
7006,P.S. 102 Jacques Cartier,3,Below average,"315 East 113th Street, New York, NY, 10029",Public district,PK-5,314.0,10:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,0,1,1
7007,Ps 108 Assemblyman Angelo Del Toro Educational Com,3,Below average,"1615 Madison Avenue, New York, NY, 10029",Public district,PK-8,448.0,10:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,1,1,1
7008,Ps 115 Alexander Humboldt,3,Below average,"586 West 177th Street, New York, NY, 10033",Public district,PK-5,477.0,12:1,Nyc Geog District # 6 - Manhattan,New York,NY,0,0,1,1
7009,Ps 128 Audubon,3,Below average,"560 West 169th Street, New York, NY, 10032",Public district,PK-5,585.0,11:1,Nyc Geog District # 6 - Manhattan,New York,NY,0,0,1,1
7010,Ps 145 The Bloomingdale School,3,Below average,"150 West 105th Street, New York, NY, 10025",Public district,PK-5,381.0,10:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,0,1,1
7011,Ps 152 Dyckman Valley,3,Below average,"93 Nagle Avenue, New York, NY, 10040",Public district,PK-5,574.0,12:1,Nyc Geog District # 6 - Manhattan,New York,NY,0,0,1,1
7012,Ps 191 Amsterdam,3,Below average,"300 West 61st Street, New York, NY, 10023",Public district,PK-8,520.0,11:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,1,1,1
7013,Ps Ms 206 Jose Celso Barbosa,3,Below average,"508 East 120th Street, New York, NY, 10035",Public district,3-8,465.0,6:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,1,1,0
7014,The Heritage School,3,Below average,"1680 Lexington Avenue, New York, NY, 10029",Public district,9-12,297.0,13:1,Nyc Geog District # 4 - Manhattan,New York,NY,1,0,0,0
7015,A Philip Randolph Campus High School,3,Below average,"433 West 135th Street, New York, NY, 10031",Public district,9-12,1379.0,16:1,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
7016,Richard R Green High School Of Teaching,3,Below average,"7 Beaver Street, New York, NY, 10004",Public district,9-12,502.0,14:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7017,Stem Institute Of Manhattan,3,Below average,"240 West 113th Street, New York, NY, 10026",Public district,K-5,133.0,7:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,0,1,0
7018,Life Sciences Secondary School,3,Below average,"320 East 96th Street, New York, NY, 10128",Public district,6-12,573.0,12:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,1,0,0
7019,Harbor Science and Arts Charter School,3,Below average,"132/142 East 111th Street, New York, NY, 10029",Public charter,K-8,252.0,11:1,Unavailable,New York,NY,0,1,1,0
7020,Is 286 Renaissance Military Leadership Academy,3,Below average,"509 West 129th Street, New York, NY, 10027",Public district,6-8,167.0,14:1,Nyc Geog District # 5 - Manhattan,New York,NY,0,1,0,0
7021,In Tech Academy Aka Ms High School 368,3,Below average,"2975 Tibbett Avenue, New York, NY, 10463",Public district,6-12,993.0,14:1,Nyc Geog District #10 - Bronx,New York,NY,1,1,0,0
7022,Neighborhood School,3,Below average,"121 East 3rd Street, New York, NY, 10009",Public district,PK-5,303.0,12:1,Nyc Geog District # 1 - Manhattan,New York,NY,0,0,1,1
7023,Earth School,3,Below average,"600 East 6th Street, New York, NY, 10009",Public district,PK-5,349.0,12:1,Nyc Geog District # 1 - Manhattan,New York,NY,0,0,1,1
7024,"High School for Law, Advocacy and Community Justice",3,Below average,"122 Amsterdam Avenue, New York, NY, 10023",Public district,9-12,462.0,13:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7025,New Design High School,3,Below average,"350 Grand Street, New York, NY, 10002",Public district,9-12,420.0,11:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7026,Ps 180 Hugo Newman,3,Below average,"370 West 120th Street, New York, NY, 10027",Public district,PK-8,548.0,12:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,1,1,1
7027,Bronx Theatre High School,3,Below average,"99 Terrace View Avenue, New York, NY, 10463",Public district,9-12,386.0,15:1,Nyc Geog District #10 - Bronx,New York,NY,1,0,0,0
7028,University Neighborhood Middle School,3,Below average,"220 Henry Street, New York, NY, 10002",Public district,5-8,201.0,8:1,Nyc Geog District # 1 - Manhattan,New York,NY,0,1,1,0
7029,Food And Finance High School,3,Below average,"525 West 50th Street, New York, NY, 10019",Public district,9-12,383.0,12:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7030,Urban Assembly School for Media Studies,3,Below average,"122 Amsterdam Avenue, New York, NY, 10023",Public district,9-12,401.0,13:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7031,Central Park East Ii,3,Below average,"433 East 100th Street, New York, NY, 10029",Public district,PK-8,445.0,12:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,1,1,1
7032,Facing History School,3,Below average,"525 West 50th Street, New York, NY, 10019",Public district,9-12,381.0,11:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7033,Lower East Side Preparatory High School,3,Below average,"145 Stanton Street, New York, NY, 10002",Public district,9-12,500.0,16:1,Nyc Geog District # 1 - Manhattan,New York,NY,1,0,0,0
7034,Liberty High School Academy For Newcomers,3,Below average,"250 West 18th Street, New York, NY, 10011",Public district,9-12,391.0,15:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7035,Hamilton Heights School,3,Below average,"1750 Amsterdam Avenue, New York, NY, 10031",Public district,K-5,171.0,10:1,Nyc Geog District # 6 - Manhattan,New York,NY,0,0,1,0
7036,Urban Assembly School Of Business For Young Women,2,Below average,"26 Broadway, New York, NY, 10004",Public district,9-12,238.0,15:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7037,The Global Learning Collaborative,2,Below average,"145 West 84th Street, New York, NY, 10024",Public district,9-12,435.0,12:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7038,Innovation Diploma Plus,2,Below average,"145 West 84th Street, New York, NY, 10024",Public district,10-12,185.0,14:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7039,English Language Learners And International Suppor,2,Below average,"99 Terrace View Avenue, New York, NY, 10463",Public district,9-12,333.0,12:1,Nyc Geog District #10 - Bronx,New York,NY,1,0,0,0
7040,Multicultural High School,2,Below average,"999 Jamaica Avenue, New York, NY, 11208",Public district,9-12,226.0,11:1,Nyc Geog District #19 - Brooklyn,New York,NY,1,0,0,0
7041,Brooklyn Lab School,2,Below average,"999 Jamaica Avenue, New York, NY, 11208",Public district,9-12,391.0,13:1,Nyc Geog District #19 - Brooklyn,New York,NY,1,0,0,0
7042,Cypress Hills Collegiate Preparatory School,2,Below average,"999 Jamaica Avenue, New York, NY, 11208",Public district,9-12,246.0,13:1,Nyc Geog District #19 - Brooklyn,New York,NY,1,0,0,0
7043,International High School at Union Square,2,Below average,"40 Irving Place, New York, NY, 10003",Public district,9-12,349.0,13:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7044,Broome Street Academy Charter High School,2,Below average,"121 6th Avenue, New York, NY, 10013",Public charter,9-12,333.0,9:1,Unavailable,New York,NY,1,0,0,0
7045,Landmark High School,2,Below average,"351 West 18th Street, New York, NY, 10011",Public district,9-12,349.0,13:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7046,Urban Assembly-Global Commerce,2,Below average,"2005 Madison Avenue, New York, NY, 10035",Public district,9-12,244.0,,Nyc Geog District # 5 - Manhattan,New York,NY,1,0,0,0
7047,Jacqueline Kennedy-Onassis High School,2,Below average,"120 West 46th Street, New York, NY, 10036",Public district,9-12,564.0,14:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7048,Murry Bergtraum High School For Business Careers,2,Below average,"411 Pearl Street, New York, NY, 10038",Public district,9-12,264.0,10:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7049,Ps 34 Franklin D Roosevelt,2,Below average,"730 East 12th Street, New York, NY, 10009",Public district,PK-8,326.0,9:1,Nyc Geog District # 1 - Manhattan,New York,NY,0,1,1,1
7050,Ms 250 West Side Collaborative Middle School,2,Below average,"735 West End Avenue, New York, NY, 10025",Public district,6-8,180.0,10:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,1,0,0
7051,High School for International-Business & Finance,2,Below average,"549 Audubon Avenue, New York, NY, 10040",Public district,9-12,447.0,15:1,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
7052,High School for Media & Communications,2,Below average,"549 Audubon Avenue, New York, NY, 10040",Public district,9-12,404.0,15:1,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
7053,High School for Health Careers & Sciences,2,Below average,"549 Audubon Avenue, New York, NY, 10040",Public district,9-12,461.0,11:1,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
7054,Manhattan International High School,2,Below average,"317 East 67th Street, New York, NY, 10065",Public district,9-12,335.0,14:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7055,High School of Arts and Technology,2,Below average,"122 Amsterdam Avenue, New York, NY, 10023",Public district,9-12,504.0,14:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7056,Thurgood Marshall Academy For Learning And Social,2,Below average,"200 West 135th Street, New York, NY, 10030",Public district,6-12,534.0,14:1,Nyc Geog District # 5 - Manhattan,New York,NY,1,1,0,0
7057,Harvey Milk High School,2,Below average,"2 Astor Place, New York, NY, 10003",Public district,9-12,62.0,7:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7058,Lower Manhattan Arts Academy,2,Below average,"350 Grand Street, New York, NY, 10002",Public district,9-12,329.0,12:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7059,"High School for Arts, Imagination and Inquiry",2,Below average,"122 Amsterdam Avenue, New York, NY, 10023",Public district,9-12,361.0,12:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7060,High School Of Hospitality Management,2,Below average,"525 West 50th Street, New York, NY, 10019",Public district,9-12,387.0,14:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7061,Urban Assembly School Of Design And Construction,2,Below average,"525 West 50th Street, New York, NY, 10019",Public district,9-12,353.0,14:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7062,River East Elementary School,2,Below average,"2351 1st Avenue, New York, NY, 10035",Public district,PK-5,189.0,10:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,0,1,1
7063,Opportunity Charter School,2,Below average,"240 West 113th Street, New York, NY, 10026",Public charter,6-12,411.0,10:1,NYC Charter Schools,New York,NY,1,1,0,0
7064,Bronx Engineering and Technology Academy,2,Below average,"99 Terrace View Avenue, New York, NY, 10463",Public district,9-12,409.0,13:1,Nyc Geog District #10 - Bronx,New York,NY,1,0,0,0
7065,Bronx School Of Law And Finance,2,Below average,"99 Terrace View Avenue, New York, NY, 10463",Public district,9-12,373.0,14:1,Nyc Geog District #10 - Bronx,New York,NY,1,0,0,0
7066,Cascades High School,2,Below average,"198 Forsyth Street, New York, NY, 10002",Public district,9-12,217.0,16:1,Nyc Geog District # 1 - Manhattan,New York,NY,1,0,0,0
7067,Urban Assembly for the Performing Arts,2,Below average,"509 West 129th Street, New York, NY, 10027",Public district,9-12,362.0,13:1,Nyc Geog District # 5 - Manhattan,New York,NY,1,0,0,0
7068,Urban Assembly School for Green Careers,1,Below average,"145 West 84th Street, New York, NY, 10024",Public district,9-12,307.0,11:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7069,Harlem Renaissence High School,1,Below average,"22 East 128th Street, New York, NY, 10035",Public district,9-12,222.0,12:1,Nyc Geog District # 5 - Manhattan,New York,NY,1,0,0,0
7070,High School For Excellence And Innovation,1,Below average,"650 Academy Street, New York, NY, 10034",Public district,9-12,194.0,10:1,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
7071,New Design Middle School,1,Below average,"625 West 133rd Street, New York, NY, 10027",Public district,6-8,128.0,8:1,Nyc Geog District # 5 - Manhattan,New York,NY,0,1,0,0
7072,Eagle Academy For Young Men-Harlem,1,Below average,"6 Edgecombe Avenue, New York, NY, 10030",Public district,6-10,320.0,11:1,Nyc Geog District # 5 - Manhattan,New York,NY,1,1,0,0
7073,Ps 155 William Paca,1,Below average,"319 East 117th Street, New York, NY, 10035",Public district,PK-5,260.0,10:1,Nyc Geog District # 4 - Manhattan,New York,NY,0,0,1,1
7074,P.S. 185 the Early Childhood Discovery and Design Magnet School,1,Below average,"20 West 112th Street, New York, NY, 10026",Public district,PK-2,245.0,11:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,0,1,1
7075,Ps 194 Countee Cullen,1,Below average,"244 West 144th Street, New York, NY, 10030",Public district,PK-5,231.0,10:1,Nyc Geog District # 5 - Manhattan,New York,NY,0,0,1,1
7076,Ps 197 John B Russwurm,1,Below average,"2230 5th Avenue, New York, NY, 10037",Public district,PK-5,307.0,10:1,Nyc Geog District # 5 - Manhattan,New York,NY,0,0,1,1
7077,Ps 242 The Young Diplomats Magnet School,1,Below average,"134 West 122nd Street, New York, NY, 10027",Public district,PK-5,171.0,8:1,Nyc Geog District # 3 - Manhattan,New York,NY,0,0,1,1
7078,Urban Academy Laboratory High School,1,Below average,"317 East 67th Street, New York, NY, 10065",Public district,9-12,162.0,11:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7079,High School for Law & Public Service,1,Below average,"549 Audubon Avenue, New York, NY, 10040",Public district,9-12,540.0,14:1,Nyc Geog District # 6 - Manhattan,New York,NY,1,0,0,0
7080,John V Lindsay Wildcat Academy Charter School,1,Below average,"17 Battery Place, New York, NY, 10004",Public charter,9-12,481.0,21:1,Unavailable,New York,NY,1,0,0,0
7081,James Baldwin School A School For Expeditionary Lr,1,Below average,"351 West 18th Street, New York, NY, 10011",Public district,9-12,239.0,12:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7082,Mott Hall High School,1,Below average,"6 Edgecombe Avenue, New York, NY, 10030",Public district,9-12,299.0,17:1,Nyc Geog District # 5 - Manhattan,New York,NY,1,0,0,0
7083,High School 560 City As School,1,Below average,"16 Clarkson Street, New York, NY, 10014",Public district,10-12,540.0,16:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7084,Independence High School,1,Below average,"850 10th Avenue, New York, NY, 10019",Public district,9-12,302.0,17:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7085,Satellite Academy High School,1,Below average,"120 West 30th Street, New York, NY, 10001",Public district,9-12,291.0,20:1,Nyc Geog District # 2 - Manhattan,New York,NY,1,0,0,0
7086,Edward A Reynolds West Side High School,1,Below average,"140 West 102nd Street, New York, NY, 10025",Public district,9-12,408.0,13:1,Nyc Geog District # 3 - Manhattan,New York,NY,1,0,0,0
7087,Chase Back-Up Child Care Center,0,Currently unrated,"3 Chase Metro Tech Ctr, New York, NY, 11245",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7088,Stepping Stone Day School,0,Currently unrated,"7740 Vleigh Pl, New York, NY, 11367",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7089,Bright Horizons Child Care Center-Rockefellr,0,Currently unrated,"75 Rockefeller Plaza, New York, NY, 10019",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7090,Bank Of America Child Development-WFC,0,Currently unrated,"4 World Financial Ctr # 250, New York, NY, 10080",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7091,Temple Emanu-El Nursery School,0,Currently unrated,"1 East 65th Street, New York, NY, 10065",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7092,Granham Windham Finest Care CC,0,Currently unrated,"1 Police Plz, New York, NY, 10038",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7093,East Calvary Day Care Center,0,Currently unrated,"1 West 112th Street, New York, NY, 10026",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7094,Bellevue South Nursery School,0,Currently unrated,"10 Waterside Plaza, New York, NY, 10010",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7095,Columbus Park West Nursery School,0,Currently unrated,"100 W 94th St, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7096,International Pre-School,0,Currently unrated,"1010 Park Ave, New York, NY, 10028",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7097,Park Avenue Christian Ch Dc,0,Currently unrated,"1010 Park Avenue, New York, NY, 10028",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7098,Park Ave Christian Ch DC,0,Currently unrated,"1010 Park Ave, New York, NY, 10028",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7099,Harlem Children's Zone-Beacon,0,Currently unrated,"103 West 107th Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7100,First Impressions Child Care Center,0,Currently unrated,"104 East 126th Street, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7101,Baruch College Elc,0,Currently unrated,"1 Baruch College #G 1063, New York, NY, 10010",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7102,Baruch College Early Learning Center,0,Currently unrated,"104 E 19th St, New York, NY, 10003",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7103,Birch Family Services,0,Currently unrated,"104 W 29th St Fl 3, New York, NY, 10001",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7104,Park Avenue Methodist Day School,0,Currently unrated,"106 East 86th Street, New York, NY, 10028",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7105,Park Ave Methodist Ch DC,0,Currently unrated,"106 E 86th St, New York, NY, 10028",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7106,Jacob's Child Care,0,Currently unrated,"108 Avenue D, New York, NY, 10009",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7107,St Bartholomew Community Pre-School,0,Currently unrated,"109 East 50th Street, New York, NY, 10022",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7108,Children's All Day School,0,Currently unrated,"109 East 60th Street, New York, NY, 10022",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7109,University Plaza Nursery School,0,Currently unrated,"110 Bleecker Street, New York, NY, 10012",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7110,Addie Mae Collins Community Head Start,0,Currently unrated,"110 E 129th St, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7111,Addie Mae Collins Head Start,0,Currently unrated,"110 E 129th St, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7112,Citizens Care Day Care Ctr4,0,Currently unrated,"110 West 146th Street, New York, NY, 10039",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7113,Victim Services Inf/Tdlr Center,0,Currently unrated,"111 Centre Street, New York, NY, 10013",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7114,City College Child Development Center,0,Currently unrated,"160 Convent Avenue, New York, NY, 10031",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7115,City College Child Development Center,0,Currently unrated,"111 Convent Ave, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7116,Bright Horizons Child Care Center-410 Park,0,Currently unrated,"410 Park Avenue, New York, NY, 10022",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7117,Chelsea Piers Child Care Center,0,Currently unrated,"62 Chelsea Piers, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7118,Early Childhood Learning Center,0,Currently unrated,"112 East 75th Street, New York, NY, 10021",Private,PK-K,0.0,,Unavailable,New York,NY,0,0,1,1
7119,Pequenos Souls Day Care Center,0,Currently unrated,"114 East 122nd Street, New York, NY, 10035",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7120,Goddard Riverside Head Start,0,Currently unrated,"70 West 95th Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7121,Garment Industry Day Care Center,0,Currently unrated,"115 Chrystie Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7122,Lexington Children's Day Care,0,Currently unrated,"115 East 98th Street, New York, NY, 10029",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7123,Pre-School Of America,0,Currently unrated,"1180 Park Avenue, New York, NY, 10128",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7124,Veritas Young Mothers Program,0,Currently unrated,"119 West 106th Street, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7125,First Presbyterian Church Nrsy School,0,Currently unrated,"12 West 12th Street, New York, NY, 10011",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7126,Child Development Center,0,Currently unrated,"120 W 57th St, New York, NY, 10019",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7127,Townhouse International,0,Currently unrated,"1209 Park Avenue, New York, NY, 10128",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7128,Manhattan Childrens Program,0,Currently unrated,"122 E 23rd St 4th Fl, New York, NY, 10010",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7129,House Of Little People #2,0,Currently unrated,"129 East 90th Street, New York, NY, 10128",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7130,Central Synagogue Nursery,0,Currently unrated,"123 East 55th Street, New York, NY, 10022",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7131,Dewitt Head Start Program,0,Currently unrated,"280 Rivington Street, New York, NY, 10002",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7132,Rockerfeller Univ Child Center,0,Currently unrated,"1230 York Avenue, New York, NY, 10065",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7133,William Woodward Jr Nrsy School,0,Currently unrated,"436 East 69th Street, New York, NY, 10021",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7134,Morningside Tendercare,0,Currently unrated,"124 W 121st St, New York, NY, 10027",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7135,Chung Pak Child Care Center,0,Currently unrated,"125 Walker Street, New York, NY, 10013",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7136,The Mandell Pre School,0,Currently unrated,"775 Columbus Avenue, New York, NY, 10025",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7137,Time Warner Children's Center,0,Currently unrated,"1271 Avenue of the Americas, New York, NY, 10020",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7138,Brownstone School & Dcc,0,Currently unrated,"128 West 80th Street, New York, NY, 10024",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
7139,West 83rd St Pre-School,0,Currently unrated,"128 West 83rd Street, New York, NY, 10024",Private,PK,0.0,,Unavailable,New York,NY,0,0,0,1
